property,target-attribute,class-name
property,missing-data,?
discrete,class-name,democrat,republican
discrete,handicapped-infants,y,n
discrete,water-project-cost-sharing,y,n
discrete,adoption-of-the-budget-resolution,y,n
discrete,physician-fee-freeze,y,n
discrete,el-salvador-aid,y,n
discrete,religious-groups-in-schools,y,n
discrete,anti-satellite-test-ban,y,n
discrete,aid-to-nicaraguan-contras,y,n
discrete,mx-missile,y,n
discrete,immigration,y,n
discrete,synfuels-corporation-cutback,y,n
discrete,education-spending,y,n
discrete,superfund-right-to-sue,y,n
discrete,crime,y,n
discrete,duty-free-exports,y,n
discrete,export-administration-act-south-africa,y,n
